Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,NOR,McLaren,1:16.052,76.052,SOFT,2.0,12,28.017,26.748,21.287
2,PIA,McLaren,1:16.071,76.071,SOFT,6.0,1,27.969,26.71,21.392
3,LEC,Ferrari,1:16.269,76.269,SOFT,5.0,1,27.902,26.978,21.389
4,HAD,Racing Bulls,1:16.681,76.681,SOFT,5.0,1,28.056,27.091,21.534
5,HAM,Ferrari,1:16.734,76.734,SOFT,5.0,1,28.071,27.222,21.441
6,BEA,Haas F1 Team,1:16.878,76.878,SOFT,6.0,1,28.214,27.13,21.534
7,ANT,Mercedes,1:16.880,76.88,SOFT,5.0,1,28.199,27.241,21.44
8,RUS,Mercedes,1:16.925,76.925,SOFT,5.0,1,28.288,27.108,21.529
9,VER,Red Bull Racing,1:16.940,76.94,SOFT,5.0,1,28.193,27.045,21.702
10,STR,Aston Martin,1:16.958,76.958,SOFT,2.0,1,28.096,27.166,21.696
11,ALB,Williams,1:16.984,76.984,SOFT,2.0,1,28.136,27.228,21.62
12,OCO,Haas F1 Team,1:17.004,77.004,SOFT,5.0,1,28.212,27.162,21.63
13,GAS,Alpine,1:17.123,77.123,SOFT,5.0,1,28.252,27.342,21.529
14,LAW,Racing Bulls,1:17.184,77.184,SOFT,5.0,1,28.127,27.352,21.705
15,SAI,Williams,1:17.195,77.195,SOFT,4.0,1,28.186,27.421,21.588
16,DRU,Aston Martin,1:17.269,77.269,SOFT,2.0,1,28.358,27.326,21.585
17,TSU,Red Bull Racing,1:17.393,77.393,SOFT,2.0,1,28.264,27.344,21.785
18,COL,Alpine,1:17.464,77.464,SOFT,6.0,1,28.412,27.177,21.875
19,BOR,Kick Sauber,1:17.652,77.652,SOFT,2.0,1,28.256,27.596,21.8
20,ARO,Kick Sauber,1:19.788,79.788,HARD,7.0,1,28.987,28.367,22.434
