Driver,Team_x,best_FP1_lap,best_FP1_lap_seconds,best_FP1_theoretical_lap,best_FP1_theoretical_seconds,Team_y,best_FP2_lap,best_FP2_lap_seconds,best_FP2_theoretical_lap,best_FP2_theoretical_seconds,Team,best_FP3_lap,best_FP3_lap_seconds,best_FP3_theoretical_lap,best_FP3_theoretical_seconds
ALB,,,,,,Williams,1:18.790,78.79,1:18.441,78.441,Williams,1:18.412,78.412,1:18.412,78.412
ALO,,1:20.067,80.067,1:20.067,80.067,Aston Martin,1:19.286,79.286,1:19.286,79.286,Aston Martin,1:19.496,79.496,1:19.489,79.489
ANT,,,,,,Mercedes,1:16.015,76.015,1:16.015,76.015,Mercedes,1:16.500,76.5,1:16.438,76.438
BEA,,1:18.172,78.172,1:18.172,78.172,Haas F1 Team,1:16.945,76.945,1:16.945,76.94500000000001,Haas F1 Team,1:18.391,78.391,1:18.156,78.156
BOR,,1:18.209,78.209,1:18.209,78.209,Audi,1:16.611,76.611,1:16.611,76.611,Audi,1:17.027,77.027,1:17.027,77.027
BOT,,1:18.914,78.914,1:18.914,78.91399999999999,Cadillac,1:18.225,78.225,1:18.188,78.188,Cadillac,1:19.962,79.962,1:19.791,79.791
COL,,1:17.893,77.893,1:17.893,77.893,Alpine,1:17.051,77.051,1:16.978,76.97800000000001,Alpine,1:17.625,77.625,1:17.625,77.625
GAS,,1:18.508,78.508,1:18.508,78.50800000000001,Alpine,1:17.260,77.26,1:17.260,77.26,Alpine,1:17.583,77.583,1:17.583,77.583
HAD,,,,,,Red Bull Racing,1:16.674,76.674,1:16.674,76.67399999999999,Red Bull Racing,1:16.684,76.684,1:16.684,76.684
HAM,,,,,,Ferrari,1:16.631,76.631,1:16.488,76.488,Ferrari,1:16.381,76.381,1:16.381,76.381
HUL,,,,,,Audi,1:16.934,76.934,1:16.918,76.91799999999999,Audi,1:16.961,76.961,1:16.867,76.867
LAW,,1:17.472,77.472,1:17.472,77.472,Racing Bulls,1:16.967,76.967,1:16.967,76.967,Racing Bulls,1:17.324,77.324,1:17.324,77.324
LEC,,1:16.883,76.883,1:16.883,76.883,Ferrari,1:15.799,75.799,1:15.799,75.799,Ferrari,1:15.922,75.922,1:15.922,75.922
LIN,,1:17.804,77.804,1:17.647,77.64699999999999,Racing Bulls,1:16.411,76.411,1:16.411,76.411,Racing Bulls,1:17.020,77.02,1:17.020,77.02000000000001
NOR,,,,,,McLaren,1:15.426,75.426,1:15.426,75.426,McLaren,1:15.925,75.925,1:15.925,75.925
OCO,,1:18.372,78.372,1:18.372,78.372,Haas F1 Team,1:17.538,77.538,1:17.373,77.37299999999999,Haas F1 Team,1:18.040,78.04,1:17.971,77.971
PER,,,,,,Cadillac,1:19.261,79.261,1:18.939,78.939,Cadillac,1:18.691,78.691,1:18.691,78.691
PIA,,1:16.566,76.566,1:16.555,76.55499999999999,McLaren,1:15.483,75.483,1:15.436,75.436,McLaren,1:15.893,75.893,1:15.893,75.893
RUS,,1:16.363,76.363,1:16.363,76.363,Mercedes,1:15.435,75.435,1:15.435,75.435,Mercedes,1:15.679,75.679,1:15.604,75.604
SAI,,1:18.293,78.293,1:18.293,78.293,Williams,1:17.020,77.02,1:17.020,77.02000000000001,Williams,1:17.730,77.73,1:17.692,77.69200000000001
STR,,1:20.318,80.318,1:19.715,79.715,Aston Martin,1:19.459,79.459,1:19.459,79.459,Aston Martin,1:20.103,80.103,1:19.918,79.91799999999999
VER,,1:17.047,77.047,1:17.047,77.047,Red Bull Racing,1:16.321,76.321,1:16.220,76.22,Red Bull Racing,1:16.434,76.434,1:16.391,76.391
