Driver,Team,best_FP1_lap,best_FP1_lap_seconds,best_FP1_theoretical_lap,best_FP1_theoretical_seconds,best_FP2_lap,best_FP2_lap_seconds,best_FP2_theoretical_lap,best_FP2_theoretical_seconds,best_FP3_lap,best_FP3_lap_seconds,best_FP3_theoretical_lap,best_FP3_theoretical_seconds
ALB,Williams,1:15.989,75.989,1:15.842,75.842,1:14.600,74.6,1:14.600,74.6,1:14.801,74.801,1:14.801,74.801
ALO,Aston Martin,1:16.678,76.678,1:16.584,76.584,1:15.294,75.294,1:15.294,75.294,1:15.567,75.567,1:15.567,75.567
ANT,Mercedes,1:14.537,74.537,1:14.521,74.52100000000002,1:13.554,73.554,1:13.518,73.518,1:12.720,72.72,1:12.610,72.61000000000001
BEA,Haas F1 Team,1:16.292,76.292,1:16.228,76.228,1:14.456,74.456,1:14.429,74.429,1:14.487,74.487,1:14.392,74.392
BOR,Audi,1:15.750,75.75,1:15.608,75.608,1:14.705,74.705,1:14.287,74.287,1:13.820,73.82,1:13.820,73.82
BOT,Cadillac,1:17.460,77.46,1:17.420,77.41999999999999,1:15.759,75.759,1:15.658,75.658,1:15.451,75.451,1:15.451,75.451
COL,Alpine,1:16.189,76.189,1:16.091,76.09100000000001,1:14.758,74.758,1:14.636,74.636,1:15.179,75.179,1:14.987,74.987
GAS,Alpine,1:15.828,75.828,1:15.828,75.828,1:14.497,74.497,1:14.497,74.497,1:14.522,74.522,1:14.522,74.52199999999999
HAD,Red Bull Racing,1:16.538,76.538,1:16.503,76.503,1:14.087,74.087,1:14.087,74.087,1:13.877,73.877,1:13.877,73.87700000000001
HAM,Ferrari,1:14.204,74.204,1:14.204,74.20400000000001,1:13.026,73.026,1:13.026,73.02600000000001,1:13.051,73.051,1:13.051,73.05099999999999
HUL,Audi,1:15.343,75.343,1:15.209,75.209,1:14.094,74.094,1:14.094,74.094,1:14.050,74.05,1:13.851,73.851
LAW,Racing Bulls,1:16.431,76.431,1:16.149,76.149,1:15.137,75.137,1:15.105,75.105,1:14.975,74.975,1:14.975,74.975
LEC,Ferrari,1:13.978,73.978,1:13.856,73.856,1:13.137,73.137,1:13.079,73.07900000000001,1:13.047,73.047,1:12.973,72.97300000000001
LIN,Racing Bulls,1:16.389,76.389,1:16.211,76.211,1:14.748,74.748,1:14.748,74.748,1:15.210,75.21,1:14.726,74.726
NOR,McLaren,1:15.291,75.291,1:15.264,75.264,1:15.274,75.274,1:15.228,75.228,1:14.174,74.174,1:14.131,74.131
OCO,Haas F1 Team,1:16.333,76.333,1:16.245,76.245,1:14.845,74.845,1:14.732,74.732,1:14.278,74.278,1:14.278,74.27799999999999
PER,Cadillac,1:16.170,76.17,1:16.170,76.17,1:15.116,75.116,1:15.030,75.03,1:14.945,74.945,1:14.945,74.94500000000001
PIA,McLaren,1:15.892,75.892,1:15.398,75.398,1:14.088,74.088,1:13.978,73.978,1:13.945,73.945,1:13.823,73.823
RUS,Mercedes,1:15.008,75.008,1:15.008,75.008,1:13.515,73.515,1:13.452,73.452,1:13.483,73.483,1:13.196,73.196
SAI,Williams,1:16.041,76.041,1:16.041,76.041,1:14.512,74.512,1:14.512,74.512,1:14.336,74.336,1:14.336,74.336
STR,Aston Martin,1:18.175,78.175,1:17.697,77.697,1:16.174,76.174,1:16.043,76.043,1:15.921,75.921,1:15.921,75.921
VER,Red Bull Racing,1:14.491,74.491,1:14.373,74.37299999999999,1:13.194,73.194,1:13.194,73.194,1:13.662,73.662,1:13.580,73.58
