Driver,Team,best_FP1_lap,best_FP1_lap_seconds,best_FP2_lap,best_FP2_lap_seconds,best_FP3_lap,best_FP3_lap_seconds
ALB,Williams,1:12.571,72.571,1:11.918,71.918,1:11.668,71.668
ALO,Aston Martin,1:12.727,72.727,1:11.890,71.89,1:12.549,72.549
ANT,Mercedes,1:13.581,73.581,1:12.478,72.478,1:12.013,72.013
BEA,Haas F1 Team,1:13.329,73.329,1:14.613,74.613,1:12.251,72.251
BOR,Kick Sauber,1:13.470,73.47,1:12.234,72.234,1:12.601,72.601
COL,Alpine,1:13.837,73.837,1:13.415,73.415,1:12.851,72.851
GAS,Alpine,1:13.041,73.041,1:12.404,72.404,1:12.194,72.194
HAD,Racing Bulls,,,1:12.356,72.356,1:12.271,72.271
HAM,Ferrari,1:12.690,72.69,1:11.460,71.46,1:11.516,71.516
HUL,Kick Sauber,1:12.979,72.979,1:12.262,72.262,1:12.125,72.125
LAW,Racing Bulls,,,1:11.823,71.823,1:11.814,71.814
LEC,Ferrari,1:12.713,72.713,1:11.355,71.355,1:10.953,70.953
NOR,McLaren,1:13.036,73.036,1:11.677,71.677,1:11.247,71.247
OCO,Haas F1 Team,1:13.394,73.394,1:12.541,72.541,1:12.499,72.499
PIA,McLaren,1:13.508,73.508,1:12.211,72.211,1:11.398,71.398
RUS,Mercedes,1:12.482,72.482,1:12.092,72.092,1:12.066,72.066
SAI,Williams,1:12.546,72.546,1:12.964,72.964,1:11.893,71.893
STR,Aston Martin,1:15.635,75.635,1:12.512,72.512,1:12.202,72.202
TSU,Red Bull Racing,1:13.232,73.232,1:12.072,72.072,1:11.952,71.952
VER,Red Bull Racing,1:12.127,72.127,1:12.068,72.068,1:11.297,71.297
