Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus
1,RUS,Mercedes,1:15.679,75.679,SOFT,2.0,1
2,PIA,McLaren,1:15.893,75.893,SOFT,2.0,1
3,LEC,Ferrari,1:15.922,75.922,SOFT,2.0,1
4,NOR,McLaren,1:15.925,75.925,SOFT,2.0,1
5,HAM,Ferrari,1:16.381,76.381,SOFT,2.0,1
6,VER,Red Bull Racing,1:16.434,76.434,SOFT,2.0,1
7,ANT,Mercedes,1:16.500,76.5,SOFT,2.0,1
8,HAD,Red Bull Racing,1:16.684,76.684,SOFT,6.0,1
9,HUL,Audi,1:16.961,76.961,SOFT,2.0,1
10,LIN,Racing Bulls,1:17.020,77.02,SOFT,2.0,1
11,BOR,Audi,1:17.027,77.027,SOFT,2.0,1
12,LAW,Racing Bulls,1:17.324,77.324,SOFT,2.0,1
13,GAS,Alpine,1:17.583,77.583,SOFT,4.0,1
14,COL,Alpine,1:17.625,77.625,SOFT,2.0,1
15,SAI,Williams,1:17.730,77.73,SOFT,2.0,1
16,OCO,Haas F1 Team,1:18.040,78.04,SOFT,4.0,1
17,BEA,Haas F1 Team,1:18.391,78.391,SOFT,3.0,1
18,ALB,Williams,1:18.412,78.412,SOFT,4.0,1
19,PER,Cadillac,1:18.691,78.691,SOFT,2.0,1
20,ALO,Aston Martin,1:19.496,79.496,SOFT,2.0,1
21,BOT,Cadillac,1:19.962,79.962,SOFT,5.0,1
22,STR,Aston Martin,1:20.103,80.103,SOFT,2.0,1
